state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,day_minutes,day_calls,day_charge,eve_minutes,eve_calls,eve_charge,night_minutes,night_calls,night_charge,intl_minutes,intl_calls,intl_charge,customer_service_calls,churn,total_minutes_domestic,total_minutes_all,total_charge_domestic,total_charge_all,total_calls_domestic,total_calls_all,customer_satisfaction
KS,128,415,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,707.2,717.2,72.86,75.56,300,303,0.33003300330033003
OH,107,415,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,611.5,625.2,55.540000000000006,59.24000000000001,329,332,0.30120481927710846
NJ,137,415,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,527.2,539.4000000000001,59.00000000000001,62.290000000000006,328,333,0.0
OH,84,408,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,558.1999999999999,564.8,65.02,66.8,248,255,0.7843137254901961
OK,75,415,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,501.9,512.0,49.36,52.089999999999996,356,359,0.8356545961002786
AL,118,510,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,647.9,654.1999999999999,65.91,67.61,317,323,0.0
MA,121,510,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,779.3000000000001,786.8000000000001,76.28,78.31,314,321,0.9345794392523363
MO,147,415,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,471.90000000000003,479.00000000000006,44.980000000000004,46.900000000000006,269,275,0.0
LA,117,408,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,751.9000000000001,760.6000000000001,70.97,73.32,267,271,0.36900369003690037
WV,141,415,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,807.0,818.2,77.52,80.53999999999999,292,297,0.0
IN,65,415,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,566.4000000000001,579.1000000000001,50.77,54.2,331,337,1.1869436201780417
RI,74,415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,547.1,556.2,54.62,57.08,369,374,0.0
IA,168,408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,374.8,386.0,37.17,40.190000000000005,295,297,0.33670033670033667
MT,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,596.5,608.8,56.32,59.64,278,283,1.0600706713780919
IA,62,415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,630.9,644.0,55.769999999999996,59.309999999999995,245,251,1.593625498007968
NY,161,415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,811.3000000000001,816.7,90.83000000000001,92.29,292,301,1.3289036544850499
ID,85,408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,566.5999999999999,580.3999999999999,61.28999999999999,65.02,304,308,0.3246753246753247
VT,93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,538.5,546.6,56.8,58.989999999999995,346,349,0.8595988538681949
VA,76,510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,568.2,578.2,57.800000000000004,60.50000000000001,239,244,0.4098360655737705
TX,73,415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,576.7,589.7,60.39,63.9,252,254,0.39370078740157477
